Section,Category,Stat,Display Name,Value,Unit,Type,Source,Description
"Key numbers (computed live)","Derived","Movement speed - carrying the Core","","976","uu/s","derived","DERIVED at dump time: WalkSpeed x CarrierSpeedMultiplier","The carrier is slightly faster. Also a multiplier of the base."
"Key numbers (computed live)","Derived","Roxie E (Modded) cooldown - what the game charges","","25","s","float","UTraceAbilitySetRoxie::GetActivatedCooldownSeconds() on the CDO -- reads RoxieModdedCooldownSeconds","The owner's own example. The knob is RoxieModdedCooldownSeconds in the Abilities - ROXIE section; this row is what the framework actually charges after clamping, which is the number that matters."
"Key numbers (computed live)","Derived","Pistol damage - headshot","","100","HP","derived","DERIVED at dump time: UTraceDamageSettings.HeadDamage","The owner's own example. A headshot is a kill outright, so this is held at or above MaxHealth."
"Key numbers (computed live)","Derived","Pistol damage - body","","40","HP","derived","DERIVED at dump time: UTraceDamageSettings.BodyDamage","Torso and arms."
"Key numbers (computed live)","Derived","Pistol damage - legs","","25","HP","derived","DERIVED at dump time: UTraceDamageSettings.LegDamage","Below the hips."
"Key numbers (computed live)","Derived","Pistol shots to kill - body","","3","shots","derived","DERIVED at dump time: ceil(MaxHealth / BodyDamage)","Computed, not typed: retune either number and this cell follows."
"Key numbers (computed live)","Derived","Pistol shots to kill - legs","","4","shots","derived","DERIVED at dump time: ceil(MaxHealth / LegDamage)","Computed."
"Key numbers (computed live)","Derived","Pistol fire rate","","190","rounds/min","derived","DERIVED at dump time: 60 / FireInterval","The knob is the INTERVAL in seconds; RPM is what a player feels. Kept derived so the two can never disagree."
"Key numbers (computed live)","Derived","SMG fire rate (nominal, from the knob)","","600","rounds/min","derived","DERIVED at dump time: 60 / SmgFireInterval","NOMINAL. This is what the knob asks for, not necessarily what a held trigger measures - see the weapons section and the spec's open item on the measured rate."
"Key numbers (computed live)","Derived","SMG damage - headshot (close)","","33","HP","derived","DERIVED at dump time: UTraceSettings.SmgHeadDamage","Inside the falloff range."
"Key numbers (computed live)","Derived","SMG damage - body (close)","","18","HP","derived","DERIVED at dump time: UTraceSettings.SmgBodyDamage","Inside the falloff range."
"Key numbers (computed live)","Derived","SMG damage - legs (close)","","12","HP","derived","DERIVED at dump time: UTraceSettings.SmgLegDamage","Inside the falloff range."
"Key numbers (computed live)","Derived","SMG shots to kill - body (close)","","6","shots","derived","DERIVED at dump time: ceil(MaxHealth / SmgBodyDamage)","Computed."
"Key numbers (computed live)","Derived","SMG damage falloff - shape","","CLIFF at 800 uu","","derived","DERIVED at dump time: bSmgDamageFalloff, SmgFalloffStartUU, SmgFalloffRampUU","A ramp width of 0 uu IS the cliff - one knob covers both shapes, so reading SmgFalloffRampUU is how you tell which one is shipping without reading the code."
"Key numbers (computed live)","Derived","SMG damage - headshot (beyond falloff)","","24","HP","derived","DERIVED at dump time: UTraceSettings.SmgFarHeadDamage","Past the falloff range. The pistol is unchanged at any range - only the SMG falls off."
"Key numbers (computed live)","Derived","SMG damage - body (beyond falloff)","","15","HP","derived","DERIVED at dump time: UTraceSettings.SmgFarBodyDamage","Past the falloff range."
"Key numbers (computed live)","Derived","SMG damage - legs (beyond falloff)","","10","HP","derived","DERIVED at dump time: UTraceSettings.SmgFarLegDamage","Past the falloff range."
"Key numbers (computed live)","Derived","SMG shots to kill - body (beyond falloff)","","7","shots","derived","DERIVED at dump time: ceil(MaxHealth / SmgFarBodyDamage)","Computed. Compare with the close-range row above - the gap between those two counts IS the range penalty a player feels."
"Key numbers (computed live)","Derived","SMG damage lost past falloff - body","","16.6667","%","derived","DERIVED at dump time: 100 x (SmgBodyDamage - SmgFarBodyDamage) / SmgBodyDamage","Percentage of body damage the range costs. Derived from the two knobs, so retuning either one moves this cell."
"Key numbers (computed live)","Derived","SMG - time to empty a full clip","","3.9","s","derived","DERIVED at dump time: (SmgClipSize - 1) x SmgFireInterval","Trigger-limited, ignoring reload. Nominal, from the interval knob."
"Key numbers (computed live)","Derived","SMG - sustained DPS through a reload (body shots, inside falloff)","","135.849","HP/s","derived","DERIVED at dump time: (SmgClipSize x SmgBodyDamage) / (SmgClipSize x SmgFireInterval + SmgReloadSeconds)","Moves when ANY of clip size, fire rate, body damage or reload time is retuned - which is why the 0.8 s -> 1.3 s reload change of spec v29 2c shows up here without anybody editing this sheet."
"Key numbers (computed live)","Derived","Roxie MODDED - pistol fire rate while it is up","","313.5","rounds/min","derived","DERIVED at dump time: 60 / (FireInterval / RoxieModdedFireRateMultiplier)","The multiplier is a RATE multiplier on the base and DIVIDES the interval, so it moves if the pistol's fire rate is ever retuned. It is not an RPM and not an interval."
"Key numbers (computed live)","Derived","Roxie MODDED - SMG fire rate while it is up","","990","rounds/min","derived","DERIVED at dump time: 60 / (SmgFireInterval / RoxieModdedFireRateMultiplier)","Same seam, other gun. No ability knows which weapon is in her hands - it scales whatever is."
"Key numbers (computed live)","Derived","Roxie MODDED - first-shot recoil kick","","0.8","deg","derived","DERIVED at dump time: RecoilPitchPerShot x RoxieModdedRecoilScale","Spec v29 2e. Recoil is OFF for everyone else, and MODDED re-adds it as a MULTIPLE of the base kick rather than as its own number of degrees - retune RecoilPitchPerShot and her kick follows."
"Key numbers (computed live)","Derived","Recoil for everybody else","","OFF - a perfectly static muzzle","","bool","DERIVED at dump time: bRecoilEnabled","Recoil was removed globally in spec v22 and stays removed. The row above is Roxie's trade for the higher fire rate, and only while MODDED is up."
"Key numbers (computed live)","Derived","Roxie MODDED - rounds fired in one activation (SMG, held trigger)","","83","rounds","derived","DERIVED at dump time: floor(RoxieModdedDurationSeconds x effective SMG RPM / 60) + 1","Computed from the duration and the effective rate, so it follows either one. Ignores the reload, which ends MODDED anyway when bRoxieModdedEndsOnReload is true."
"Key numbers (computed live)","Derived","Air strafe soft cap - EFFECTIVE","","1045","uu/s","derived","DERIVED at dump time: AirStrafeSoftCapSpeed x AirStrafeAsymptoteScale","The base and the scale are separate knobs; the product is what the game plays at and it appears nowhere else. Reading the base alone is how a double-applied scale hides."
"Key numbers (computed live)","Derived","Air strafe hard cap - EFFECTIVE","","1375","uu/s","derived","DERIVED at dump time: AirStrafeHardCapSpeed x AirStrafeAsymptoteScale","Same shape as the soft cap."
"Key numbers (computed live)","Derived","Slide duration - EFFECTIVE","","1.26","s","derived","DERIVED at dump time: SlideDuration x SlideMaxLengthScale","Base x scale, as shipped."
"Key numbers (computed live)","Derived","Wall jump window - EFFECTIVE","","0.15","s","derived","DERIVED at dump time: WallJumpWindowSeconds x WallJumpWindowScale","Base x scale."
"Key numbers (computed live)","Derived","Wall jump speed retention - EFFECTIVE","","0.855","x (multiplier)","derived","DERIVED at dump time: WallJumpSpeedRetention x WallJumpMomentumScale","Base x scale."
"Key numbers (computed live)","Derived","Goal mouth width","","1999.68","uu","derived","DERIVED at dump time: GoalWidthFieldFraction x 9600 uu field width","The knob is a FRACTION of the field so the goal tracks the arena if the arena is resized. 9600 uu is the shipped field width."
"Key numbers (computed live)","Derived","Core throw speed - EFFECTIVE after weight","","2459.67","uu/s","derived","DERIVED at dump time: CoreThrowSpeed / sqrt(CoreMassScale)","The number a designer types is not the speed the Core flies at - the weight model divides it. This is the flown speed."
"Key numbers (computed live)","Derived","Pistol - time to empty a full clip","","9.15788","s","derived","DERIVED at dump time: (ClipSize - 1) x FireInterval","Trigger-limited, ignoring reload. ClipSize-1 because the first round costs no interval."
"Key numbers (computed live)","Derived","Pistol - sustained DPS through a reload (body shots)","","120.317","HP/s","derived","DERIVED at dump time: (ClipSize x BodyDamage) / (ClipSize x FireInterval + ReloadSeconds)","Computed. The one number that moves when ANY of clip size, fire rate, body damage or reload time is retuned."
"Key numbers (computed live)","Derived","Jump apex height","","186.589","uu","derived","DERIVED at dump time: JumpZVelocity^2 / (2 x 980 x GravityScale)","How high a standing jump reaches. Derived from the engine-owned fields, so it follows a gravity or jump-speed change without anybody remembering to update it."
"Movement","Movement|Walk","WalkSpeed","Walk Speed (uu/s)","800","uu/s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Base ground speed, in uu/s. Copied into UCharacterMovementComponent::MaxWalkSpeed, which is what the physics step actually clamps against; ApplyLiveMovementTuning() re-pushes it on every edit so the slider is felt immediately. Sane range 600 (heavy) to 1000 (frantic). The whole slide and dash block is expressed as multiples of this, so moving it moves the kit with it. 820 -> 800 THIS PASS (spec v4 §5). Note there is ... [allowed range: 50.0 to 5000.0]"
"Movement","Movement|Walk","CarrierSpeedMultiplier","Carrier Speed Multiplier [v13 §3: = knife 1.22]","1.22","x (multiplier)","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","WalkSpeed multiplier while carrying the Core - the carrier is slightly faster. The carrier cannot shoot and is hunted by five people, so the speed edge is what makes carrying playable. Sane range 1.0 to 1.2; above ~1.3 nobody can catch a carrier at all. SPEC v13 §3: 1.30 -> 1.22. Verbatim: ""Update carrier speed to match the new knife speed."" THIS CLOSES THE PARITY BREAK v12 §3 OPENED AND FLAGGED. The whole reason ... [allowed range: 0.5 to 2.0]"
"Movement","Movement|Air","bSourceAirAcceleration","Source-Style Air Acceleration","true","on/off","bool","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Master switch for the Source/Quake air model. OFF restores Unreal's stock AirControl lerp. Exists so the new movement can be A/B'd against the old feel from one binary rather than two. Turning it off does NOT restore the landing clamp - that is bPreserveLandingMomentum below."
"Movement","Movement|Air","AirMaxWishSpeed","Air Max Wish Speed (uu/s along wish dir)","160","uu/s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Ceiling, in uu/s, on the velocity component ALONG the wish direction that air input will build. THIS IS THE AIR-STRAFE DIAL. Source ships the equivalent of ~57 uu/s here, which is deliberately tiny - it is what makes strafe-jumping a skill rather than a control scheme. The default here is a good deal higher because spec v3 asks for ""full control authority to redirect velocity in air"" and for strafing to be MORE ... [allowed range: 0.0 to 2000.0]"
"Movement","Movement|Air","AirAcceleration","Air Acceleration (uu/s^2)","8000","uu/s^2","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","How hard the air-accel step pushes, in uu/s^2. Together with the cap above this decides whether a turn takes one frame or several: at 8000 and a 60Hz frame the step can add 133 uu/s, so the 160 cap is very nearly reached in a single frame and the model behaves as ""cap per frame"". Lower it and air control becomes gradual and floaty. Sane range 3000 to 12000. [allowed range: 0.0 to 50000.0]"
"Movement","Movement|Air","MaxAirSpeed","Max Air Speed (uu/s, model ceiling)","1600","uu/s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Ceiling on planar speed that AIR INPUT may build toward, in uu/s. NOT a hard clamp on the pawn's velocity, and deliberately so: speed carried into the air by a dash or a slide is left alone, because clamping it is exactly the ""velocity gets reset by a state transition"" complaint spec v3 §2.4 raises. This only bounds what holding a direction key in mid-air can ACCELERATE you to. Keep it at or above WalkSpeed; well ... [allowed range: 50.0 to 8000.0]"
"Movement","Movement|Air","bAirStrafeGainFalloff","Air Strafe Gain Falloff","true","on/off","bool","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Master switch for the diminishing-returns curve. OFF leaves only the hard cap, which is the ""or"" in the spec's ""a hard cap OR an exponential scale"" - both are implemented so the design owner can play them separately and keep the one that feels right."
"Movement","Movement|Air","AirStrafeSoftCapSpeed","Air Strafe Soft Cap BASE (uu/s, x asymptote scale)","950","uu/s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Planar speed, uu/s, at which strafing STOPS being free and starts paying diminishing returns. Below this the air model is exactly what it was. 950 sits just under the measured baseline (a continuous strafe turn reaches ~1036 uu/s from 835), so today's strafe is left almost entirely intact and it is the accumulation PAST it that gets expensive - which is what ""harder and harder to gain momentum past a certain point"" ... [allowed range: 50.0 to 8000.0]"
"Movement","Movement|Air","AirStrafeFalloffExponent","Air Strafe Falloff Exponent","2","x (multiplier)","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Shape of the falloff between the soft cap and the hard cap: Scale = (1 - t) ^ this. 1 is a straight line - every uu/s of headroom costs the same. 2 (the default) is the ""exponential scale"" reading: it keeps most of the strafe's value until well past the soft cap and then collapses it, so the speed asymptotes visibly short of the hard cap and a player feels the ceiling arrive rather than hitting it. Above ~4 the gain ... [allowed range: 0.1 to 8.0]"
"Movement","Movement|Air","bAirStrafeHardCap","Air Strafe Hard Cap Enabled","true","on/off","bool","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Master switch for the absolute strafe ceiling - the ""hard cap on it"" half of the spec's request. OFF leaves only the falloff curve (and MaxAirSpeed, which is the model-wide ceiling and is not a v5 knob)."
"Movement","Movement|Air","AirStrafeHardCapSpeed","Air Strafe Hard Cap BASE (uu/s, x asymptote scale)","1250","uu/s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","The hard ceiling, uu/s, on planar speed that air input may reach. THE BACKSTOP. 1250 is ~20% above the measured 1036 baseline: with the falloff on, the curve asymptotes well short of it and this is only ever reached by input patterns the curve did not anticipate, which is what a backstop is for. Speed CARRIED into the air (a dash, a slide-jump) is not clamped by it - the movement component takes max(this, the speed ... [allowed range: 50.0 to 8000.0]"
"Movement","Movement|Air","AirStrafeAsymptoteScale","Air Strafe Asymptote Scale (x both caps)","1.1","x (multiplier)","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","SPEC v9 §8 - ""Move the asymptote on momentum slightly higher, to allow for slightly faster speeds."" ONE scalar over BOTH air-strafe caps. The soft cap is where the gain starts to taper and the hard cap is where it reaches zero: they are two points on one curve, so moving only one of them changes the SHAPE of the falloff instead of its position. This slides the whole asymptote up and leaves the shape identical. ... [allowed range: 0.5 to 2.0]"
"Movement","Movement|Air","AirStrafeOpposingDeceleration","Air Strafe Opposing Deceleration (uu/s^2 at a full reversal)","2200","uu/s^2","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","SPEC v18 §1a - ""when you go the opposite direction during the jump ... your momentum doesn't change at all. We want it so doing so slows down your momentum."" This is how fast it slows, in uu/s^2, at a DEAD 180-degree reversal. SCALED BY HOW OPPOSED THE INPUT IS, which is the spec's own [ASSUMPTION] and the thing that makes it feel like braking rather than like a wall: the brake is multiplied by the NEGATIVE part of ... [allowed range: 0.0 to 20000.0]"
"Movement","Movement|Air","MovementGravityScale","Player Gravity Scale (x world gravity)","1.12","x (multiplier)","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","SPEC v9 §8 - ""LESS FLOATY"". Multiplier on world gravity for the PLAYER, and only the player. Verbatim: ""Increase gravity by 12%, to make players feel less floaty when air strafing."" 1.12 is that number, expressed as the engine's UCharacterMovementComponent::GravityScale so it applies to jumps, falls, wall jumps and the dash arc alike without touching world gravity - which would also have retuned the mode-B throw ... [allowed range: 0.25 to 4.0]"
"Movement","Movement|Air","AirFriction","Air Friction (lateral, per s)","0","","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Lateral drag in the air, per second (the engine's FallingLateralFriction). ZERO BY DESIGN. Source and Quake have no air drag at all, which is what makes a jump preserve the speed you took into it - the single most-requested property of this movement model. Any non-zero value here quietly undoes momentum preservation for every airborne frame, so it is a knob for experiments rather than a dial to season with. Sane ... [allowed range: 0.0 to 8.0]"
"Movement","Movement|Air","AirControl","Air Control (engine acceleration scale)","1","","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Engine-owned: the fraction of input acceleration that survives into the falling state (UCharacterMovementComponent::AirControl). Pushed into the component by RefreshEngineTunablesFromSettings(), so it is live but is a COPY - the one air value that cannot be read at the point of use. 1.0, NOT the 0.45 the constructor used to set. Under the stock model AirControl WAS the air model, and 0.45 was how you stopped it ... [allowed range: 0.0 to 1.0]"
"Movement","Movement|Landing","bPreserveLandingMomentum","Preserve Landing Momentum","true","on/off","bool","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","ON BY DEFAULT - this is spec v3 §2.2. Off restores the engine's hard brake on landing. It exists so the old feel can be A/B'd from one binary. Turning it off makes the three overspeed knobs below inert."
"Movement","Movement|Landing","GroundOverspeedFriction","Overspeed Ground Friction","2","uu/s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Friction applied to the EXCESS above walk speed while on the ground, replacing the engine's GroundFriction (8) for those frames only. THE MAIN ""how long does carried speed last"" DIAL. Overspeed has to leave somehow, or a player who lands fast keeps that speed forever and walk speed stops meaning anything. The Source-style answer is that friction bleeds it over a short run-out rather than the game snapping it away in ... [allowed range: 0.0 to 16.0]"
"Movement","Movement|Landing","GroundOverspeedBraking","Overspeed Braking (uu/s^2)","400","uu/s^2","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Flat deceleration, uu/s^2, applied to the excess above walk speed when there is NO input - the counterpart of BrakingDecelerationWalking (2600) for overspeed frames. Separate from the friction term because friction is proportional and a proportional bleed alone has a long tail: it takes the same time to go 2000 -> 1000 as 1000 -> 500, so a fast landing leaves the pawn hovering just above walk speed for an ... [allowed range: 0.0 to 5000.0]"
"Movement","Movement|Landing","GroundOverspeedTurnRate","Overspeed Turn Rate (deg/s)","180","deg/s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Degrees per second an overspeed pawn may steer while it bleeds down, on the ground. Unlimited steering while overspeed would let a player carry a landing's momentum around a corner at full value, which turns the whole model into free speed; zero would make a fast landing a rail you cannot correct on. This is the middle ground and it is the knob to reach for if landings feel either ""on ice"" (raise it) or ""too free"" ... [allowed range: 0.0 to 720.0]"
"Movement","Movement|Dash","DashSpeed","Dash Speed (uu/s)","3300","uu/s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Speed clamp while dashing, in uu/s. DASH REACH = DashSpeed * DashDuration. At 3300 x 0.18 that is 594uu (v16: 3000 -> 3300). Bots' BotTrailDashRange must stay comfortably under that number or the signature trail-crossing kill stops landing - if you change this, check that one. Sane range 2200 to 3600. [allowed range: 100.0 to 10000.0]"
"Movement","Movement|Dash","DashDuration","Dash Duration (s)","0.18","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","How long a dash lasts, in seconds. Multiplied by DashSpeed this is the dash's reach. Sane range 0.12 to 0.28. Below ~0.08 the dash becomes a one-or-two-frame teleport that the trail trip test can step straight over, which silently breaks the game's core counterplay. [allowed range: 0.05 to 1.0]"
"Movement","Movement|Dash","DashCooldown","Dash Cooldown (s)","3.5","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Cooldown measured from dash start, per charge, in seconds. This is the only counterplay against a carrier, so it is a strong dial in both directions: shorter means the defence can commit more often, longer means the carrier's run is safer. Sane range 2.5 to 5. Keep UTraceSettings::BotDashCooldownSeconds equal to it, or the bots' shadow charge model will think they have a dash they do not. [allowed range: 0.0 to 30.0]"
"Movement","Movement|Dash","BaseDashCharges","Base Dash Charges","1","count","int32","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Dash charges everybody has. The pool refills one charge at a time, each on DashCooldown. A pool rather than a timer because the carrier bonus below has to be able to appear and disappear mid-cooldown without the answer being arbitrary - see the movement component header. [allowed range: 1 to 5]"
"Movement","Movement|Dash","CarrierExtraDashCharges","Carrier Extra Dash Charges","1","count","int32","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Extra dash charges granted for as long as the pawn is carrying the Core (contract §5). [allowed range: 0 to 5]"
"Movement","Movement|Dash","bRefreshDashChargeOnKill","EXPERIMENT: Refresh A Dash Charge On Every Kill (Demo 17 item 7 - default OFF)","false","on/off","bool","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","DEMO 17 item 7, verbatim: ""Add a toggle to test dash cooldown refreshing on every kill."" *** AN EXPERIMENT, AND OFF IS THE SHIPPED ANSWER. *** Demo 17 asks for a way to TRY it, not for the behaviour - so this defaults to false and the game plays exactly as it did with it there. Turning it on hands the killer one dash charge back on every kill, which is the same grant ..."
"Movement","Movement|Dash","DashExitSpeedMultiplier","Dash Exit Speed (multiple of max speed)","1.25","x (multiplier)","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Multiple of the ground speed limit a dash hands back when it ends. 1.0 = the old behaviour. Spec v3 §2.4: ""state transitions should preserve velocity vectors rather than resetting them"". A dash ending by dumping the pawn at exactly walking pace is the most visible reset in the kit - you spend a cooldown, cross 540 uu, and arrive slower than a slide would have left you. Above 1 the surplus is handed back as real ... [allowed range: 1.0 to 3.0]"
"Movement","Movement|Dash","DashExitVerticalSpeedMultiplier","Dash Exit Vertical Speed (multiple of jump)","1","x (multiplier)","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Ceiling on the UPWARD velocity a dash hands back when it ends, as a multiple of JumpZVelocity. SPEC v7 §5 made the dash a true 3D ray, so a straight-up dash now exists - and the air-strafe cap does NOT bound it, being planar by construction. Unclamped, a vertical dash was 594uu on rails PLUS 3000uu/s of exit velocity, about 4592uu of coast, straight through the arena's 1640uu ceiling. At 1.0 a dash may hand back at ... [allowed range: 0.0 to 4.0]"
"Movement","Movement|Slide","SlideEntrySpeedFraction","Entry Speed (fraction of Walk Speed)","0.55","0-1","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Fraction of WalkSpeed you must already be moving at before crouch will start a slide. Stops ""tap crouch from a standstill"" being free speed. Sane range 0.4 to 0.7. [allowed range: 0.0 to 2.0]"
"Movement","Movement|Slide","SlideEntrySpeedMultiplier","Entry Speed Multiplier","1","x (multiplier)","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Entry speed multiplier applied to the ACTUAL entry speed. Slide velocity = entry speed x this. Not max(entry speed, WalkSpeed) - that was the old implementation and the old wording, and the floor is exactly the flat boost spec v4 §1 rules out: it made a slide entered at walking pace come out 35% faster than the walk. It multiplies what you actually arrived with, nothing else. SHIPPED AT 1.0, WHICH IS NOW THE ... [allowed range: 0.5 to 3.0]"
"Movement","Movement|Slide","SlideMaxSpeed","Max Entry Speed (uu/s)","1900","uu/s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Hard ceiling on slide entry speed, in uu/s. This is the one knob that can DESTROY momentum rather than preserve it: a slide entered out of a dash is clamped to this, so setting it near WalkSpeed means a fast player is slowed by sliding. Kept well above walking pace for that reason. Sane range 1.5x to 2.5x WalkSpeed. [allowed range: 100.0 to 6000.0]"
"Movement","Movement|Slide","SlideDuration","Duration BASE (s, x max length scale)","1.8","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Longest a slide may last, in seconds, even if it has not decayed to the exit speed. With the gentle deceleration below, this is what actually ends most slides - so this is THE ""max slide length"" dial. Sane range 0.8 to 2.5. THE BASE, NOT THE SHIPPED LENGTH. Spec v9 §6's ""-30%"" lives in SlideMaxLengthScale below and the accumulated ""-0.4 s"" (v24 §8) + ""-0.2 s"" (v25 §6) lives in SlideDurationTrimSeconds below that; ... [allowed range: 0.1 to 6.0]"
"Movement","Movement|Slide","SlideMaxLengthScale","Max Length Scale (x duration)","0.7","x duration","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","SPEC v9 §6 - ""Reduce max slide length by 30%."" x0.7, and this is the whole change. LENGTH IS SCALED THROUGH DURATION, on purpose. Since spec v4 §1 a slide's speed is purely what the player carried in, so the maximum distance one can cover is entry speed integrated over SlideDuration - scale the clock and the distance scales with it. With SlideDeceleration at 260 uu/s² the decay term is quadratic, so the distance ... [allowed range: 0.05 to 4.0]"
